file_name	common_name	order
Suricata_suricatta	Meerkat	CARNIVORA
Spilogale_gracilis	Western-Spotted-Skunk	CARNIVORA
Tadarida_brasiliensis	Mexican-Free-tailed-Bat	CHIROPTERA
Megaderma_lyra	Greater-False-Vampire-Bat	CHIROPTERA
Platanista_gangetica	Indus-River-Dolphin	CETARTIODACTYLA
Orycteropus_afer	Aardvark	TUBULIDENTATA
Microgale_talazaci	Talazacs-Shrew-Tenrec	AFROSORICIDA
Ictidomys_tridecemlineatus	Thirteen-lined-Ground-Squirrel	RODENTIA
Rhinolophus_sinicus	Chinese-Rufous-Horseshoe-Bat	CHIROPTERA
Pithecia_pithecia	White-faced-Saki	PRIMATES
Petromus_typicus	Dassie-Rat	RODENTIA
Cuniculus_paca	Lowland-Paca	RODENTIA
Enhydra_lutris	Sea-Otter	CARNIVORA
Mus_musculus	House-Mouse	RODENTIA
Hipposideros_armiger	Great-Roundleaf-Bat	CHIROPTERA
Camelus_dromedarius	Arabian-Camel	CETARTIODACTYLA
Choloepus_hoffmanni	Hoffmanns-Two-fingered-Sloth	PILOSA
Chaetophractus_vellerosus	Screaming-Hairy-Armadillo	CINGULATA
Loxodonta_africana	African-Savanna-Elephant	PROBOSCIDEA
Colobus_angolensis	Angolan-Colobus	PRIMATES
Sorex_araneus	European-Shrew	EULIPOTYPHLA
Tupaia_chinensis	Northern-Tree-Shrew	SCANDENTIA
Jaculus_jaculus	Lesser-Egyptian-Jerboa	RODENTIA
Macaca_fascicularis	Crab-eating-Macaque	PRIMATES
Helogale_parvula	Dwarf-Mongoose	CARNIVORA
Eulemur_flavifrons	Sclaters-Lemur	PRIMATES
Microtus_ochrogaster	Prairie-Vole	RODENTIA
Mus_pahari	Shrew-Mouse	RODENTIA
Saguinus_imperator	Emperor-Tamarin	PRIMATES
Daubentonia_madagascariensis	Aye-aye	PRIMATES
Mesocricetus_auratus	Golden-Hamster	RODENTIA
Pan_paniscus	Pygmy-Chimpanzee	PRIMATES
Neophocaena_asiaeorientalis	Yangtze-Finless-Porpoise	CETARTIODACTYLA
Rattus_norvegicus	Norway-Rat	RODENTIA
Thryonomys_swinderianus	Greater-Cane-Rat	RODENTIA
Phocoena_phocoena	Harbor-Porpoise	CETARTIODACTYLA
Nasalis_larvatus	Proboscis-Monkey	PRIMATES
Tamandua_tetradactyla	Southern-Tamandua	PILOSA
Rhinopithecus_roxellana	Golden-Snub-nosed-Monkey	PRIMATES
Chrysochloris_asiatica	Cape-Golden-Mole	AFROSORICIDA
Miniopterus_natalensis	Bats	CHIROPTERA
Callicebus_donacophilus	White-eared-Titi	PRIMATES
Mirza_coquereli	Coquerels-Giant-Mouse-Lemur	PRIMATES
Noctilio_leporinus	Greater-Bulldog-Bat	CHIROPTERA
Bubalus_bubalis	Water-Buffalo	CETARTIODACTYLA
Inia_geoffrensis	Amazon-River-Dolphin	CETARTIODACTYLA
Xerus_inauris	Cape-Ground-Squirrel	RODENTIA
Tolypeutes_matacus	Southern-Three-banded-Armadillo	CINGULATA
Propithecus_coquereli	Coquerels-Sifaka	PRIMATES
Tupaia_tana	Large-Treeshrew	SCANDENTIA
Solenodon_paradoxus	Hispaniolan-Solenodon	EULIPOTYPHLA
Erythrocebus_patas	Patas-Monkey	PRIMATES
Eulemur_fulvus	Common-Brown-Lemur	PRIMATES
Orcinus_orca	Killer-Whale	CETARTIODACTYLA
Zapus_hudsonius	Meadow-Jumping-Mouse	RODENTIA
Camelus_bactrianus	Bactrian-Camel	CETARTIODACTYLA
Myotis_lucifugus	Little-Brown-Bat	CHIROPTERA
Mesoplodon_bidens	Sowerbys-Beaked-Whale	CETARTIODACTYLA
Perognathus_longimembris	Pacific-Pocket-Mouse	RODENTIA
Myotis_brandtii	Brandts-Bat	CHIROPTERA
Chlorocebus_sabaeus	Green-Monkey	PRIMATES
Chinchilla_lanigera	Long-tailed-Chinchilla	RODENTIA
Canis_lupus_familiaris	Domestic-Dog	CARNIVORA
Dinomys_branickii	Pacarana	RODENTIA
Pteronotus_parnellii	Parnells-Mustached-Bat	CHIROPTERA
Kogia_breviceps	Pygmy-Sperm-Whale	CETARTIODACTYLA
Ovis_canadensis	Peninsular-Bighorn-Sheep	CETARTIODACTYLA
Pygathrix_nemaeus	Red-shanked-Douc	PRIMATES
Cricetomys_gambianus	Gambian-Pouched-Rat	RODENTIA
Ursus_maritimus	Polar-Bear	CARNIVORA
